SDG,Target,Globaler Inhalt (paraphrasiert),Europa/Deutschland-Bezug,Wirkungsökonomische Bedeutung
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.1,Nachhaltiges Wirtschaftswachstum gemäß nationalem Kontext fördern.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.2,"Produktivität durch Diversifizierung, Innovation und Aufwertung steigern.","Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.3,"Entwicklungsorientierte Politik, Unternehmertum und formelle Arbeit fördern.","Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.4,Ressourceneffizienz verbessern und Wachstum von Umweltzerstörung entkoppeln.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.5,"Vollbeschäftigung, menschenwürdige Arbeit und gleiche Bezahlung sichern.","Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.6,Jugendarbeitslosigkeit und Bildungs-/Beschäftigungslosigkeit verringern.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.7,"Zwangsarbeit, moderne Sklaverei und Kinderarbeit beenden.","Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.8,Arbeitsrechte und sichere Arbeitsumgebungen schützen.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.9,Nachhaltigen Tourismus fördern.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.10,Finanzinstitutionen und Zugang zu Finanzdienstleistungen stärken.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.a,Handelsunterstützung stärken.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 8 - Menschenwürdige Arbeit und Wirtschaftswachstum,8.b,Jugendbeschäftigungsstrategien umsetzen.,"Europa/Deutschland: menschenwürdige Arbeit, Automatisierung, Weiterbildung, faire Löhne, Lieferketten, Arbeitsrechte und Wirkung statt bloßer Beschäftigung bewerten.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.1,"Nachhaltige, resiliente und inklusive Infrastruktur entwickeln.","Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.2,Inklusive und nachhaltige Industrialisierung fördern.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.3,Kleinen Unternehmen Zugang zu Finanzdienstleistungen und Märkten ermöglichen.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.4,Industrie und Infrastruktur ressourceneffizient und sauber modernisieren.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.5,"Forschung, Technologie und Innovation stärken.","Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.a,Infrastrukturentwicklung unterstützen.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.b,Technologische Entwicklung und Innovation in Entwicklungsländern fördern.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 9 - Industrie, Innovation und Infrastruktur",9.c,Zugang zu Informations- und Kommunikationstechnologien ausweiten.,"Europa/Deutschland: Infrastruktur, Industrieumbau, Forschung, Digitalisierung, Datenräume, harte Sektoren und Innovationswirkung steuern.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 10 - Weniger Ungleichheiten,10.1,Einkommenswachstum der unteren Einkommensgruppen stärken.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.2,"Soziale, wirtschaftliche und politische Inklusion fördern.","Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.3,Chancengleichheit sichern und Diskriminierung abbauen.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.4,"Fiskal-, Lohn- und Sozialpolitik für mehr Gleichheit nutzen.","Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.5,Finanzmärkte und Institutionen regulieren und überwachen.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.6,Bessere Mitsprache von Entwicklungsländern in globalen Institutionen sichern.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.7,"Geordnete, sichere und verantwortliche Migration ermöglichen.","Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.a,Sonder- und Präferenzregelungen für Entwicklungsländer erhalten.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.b,Entwicklungshilfe und Finanzströme nach Bedarf ausrichten.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 10 - Weniger Ungleichheiten,10.c,Kosten von Rücküberweisungen senken.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.1,"Zugang zu angemessenem, sicherem und bezahlbarem Wohnraum sichern.","Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.2,"Sichere, bezahlbare und nachhaltige Verkehrssysteme ausbauen.","Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.3,Inklusive und nachhaltige Stadtplanung stärken.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.4,Kultur- und Naturerbe schützen.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.5,Katastrophenrisiken und Schäden reduzieren.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.6,Umweltbelastung von Städten senken.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.7,"Zugang zu sicheren, inklusiven Grün- und öffentlichen Räumen sichern.","Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.a,Stadt-Land-Verbindungen und Regionalplanung stärken.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.b,Resilienz- und Klimaanpassungsstrategien für Städte umsetzen.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 11 - Nachhaltige Städte und Gemeinden,11.c,Nachhaltiges Bauen und lokale Materialien unterstützen.,"Europa/Deutschland: Wohnen, Stadtentwicklung, Mobilität, Quartiere, Hitzeschutz, Kultur, Grünflächen und kommunale Resilienz operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.1,Programme für nachhaltigen Konsum und Produktion umsetzen.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.2,Natürliche Ressourcen effizient und nachhaltig nutzen.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.3,Lebensmittelverluste und -verschwendung reduzieren.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.4,Chemikalien und Abfälle sicher managen.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.5,"Abfallvermeidung, Wiederverwendung und Recycling steigern.","Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.6,Unternehmen zu Nachhaltigkeitspraktiken und Berichten bewegen.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.7,Nachhaltige öffentliche Beschaffung fördern.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.8,Information und Bewusstsein für nachhaltige Lebensweisen stärken.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.a,Wissenschaftliche und technologische Kapazitäten für nachhaltige Produktion stärken.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.b,Nachhaltigen Tourismus messen und fördern.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 12 - Nachhaltige/r Konsum und Produktion,12.c,Ineffiziente fossile Subventionen rationalisieren und Fehlanreize abbauen.,"Europa/Deutschland: Produktwirkung, Kreislaufwirtschaft, Beschaffung, Lieferketten, Verpackung, Reparaturfähigkeit und echte Preise rückkoppeln.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 13 - Maßnahmen zum Klimaschutz,13.1,Resilienz gegenüber klimabezogenen Gefahren stärken.,"Europa/Deutschland: Klimaschutz, Anpassung, Resilienz, Klimarisiken, Wärmeplanung, Infrastruktur und Finanzierung verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 13 - Maßnahmen zum Klimaschutz,13.2,Klimamaßnahmen in Politik und Planung integrieren.,"Europa/Deutschland: Klimaschutz, Anpassung, Resilienz, Klimarisiken, Wärmeplanung, Infrastruktur und Finanzierung verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 13 - Maßnahmen zum Klimaschutz,13.3,"Bildung, Bewusstsein und Kapazitäten für Klimaschutz und Anpassung verbessern.","Europa/Deutschland: Klimaschutz, Anpassung, Resilienz, Klimarisiken, Wärmeplanung, Infrastruktur und Finanzierung verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 13 - Maßnahmen zum Klimaschutz,13.a,Klimafinanzierung mobilisieren.,"Europa/Deutschland: Klimaschutz, Anpassung, Resilienz, Klimarisiken, Wärmeplanung, Infrastruktur und Finanzierung verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 13 - Maßnahmen zum Klimaschutz,13.b,Planungs- und Managementkapazitäten in vulnerablen Ländern stärken.,"Europa/Deutschland: Klimaschutz, Anpassung, Resilienz, Klimarisiken, Wärmeplanung, Infrastruktur und Finanzierung verbinden.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.1,Meeresverschmutzung reduzieren.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.2,Meeres- und Küstenökosysteme nachhaltig managen und schützen.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.3,Ozeanversauerung adressieren.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.4,Fischerei regulieren und Überfischung beenden.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
